"cptid","cpt_code","descript_short","descript_med","descript_long"
8104,"95857",CHOLINESTERASE CHALLENGE,CHOLINESTERASE INHIBITOR CHALLENGE TEST,Cholinesterase inhibitor challenge test for myasthenia gravis
8707,"95819",EEG AWAKE AND ASLEEP,ELECTROENCEPHALOGRAM W/REC AWAKE&ASLEEP,Electroencephalogram (EEG); including recording awake and asleep
8835,"97012",MECHANICAL TRACTION THERAPY,APPL MODALITY 1/> AREAS TRACTION MECHANICAL,"Application of a modality to 1 or more areas; traction, mechanical"
8264,"90947",DIALYSIS REPEATED EVAL,DIALYSIS OTH/THN HEMODIALY REPEAT PHYS/QHP EVALS,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies) requiring repeated evaluations by a physician or other qualified health care professional, with or without substantial revision of dialysis prescription"
8927,"99403",PREVENTIVE COUNSELING INDIV,PREVENT MED COUNSEL&/RISK FACTOR REDJ SPX 45 MIN,Preventive medicine counseling and/or risk factor reduction intervention(s) provided to an individual (separate procedure); approximately 45 minutes
8412,"92596",EAR PROTECTOR EVALUATION,EAR PROTECTOR ATTENUATION MEASUREMENTS,Ear protector attenuation measurements
9023,"99192",SPECIAL PUMP SERVICES,ASSEMBLY&OPERJ PUMP OXYGENATOR/HEAT EXCH 30 MI,Assembly and operation of pump with oxygenator or heat exchanger (with or without ECG and/or pressure monitoring); 30 minutes
8560,"92018",NEW EYE EXAM & TREATMENT,OPHTH XM&EVAL ANES W/WO MANJ GLOBE COMPL,"Ophthalmological examination and evaluation, under general anesthesia, with or without manipulation of globe for passive range of motion or other manipulation to facilitate diagnostic examination; complete"
9151,"99380",NURSING FAC CARE SUPERVISIO,SUPERVISION NURS FACILITY PATIENT MONTH 30 MIN/>,"Supervision of a nursing facility patient (patient not present) requiring complex and multidisciplinary care modalities involving regular development and/or revision of care plans by that individual, review of subsequent reports of patient status, review of related laboratory and other studies, communication (including telephone calls) for purposes of assessment or care decisions with health care professional(s), family member(s), surrogate decision maker(s) (eg, legal guardian) and/or key caregiver(s) involved in patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month; 30 minutes or more"
8724,"94011",SPIROMETRY UP TO 2 YRS OLD,MEAS SPIROMTRC FORCD EXPIRATORY FLO INFANT&/2 Y,Measurement of spirometric forced expiratory flows in an infant or child through 2 years of age
8852,"95961",ELECTRODE STIMULATION BRAIN,FUNCJAL CORT&SUBCORT MAPG PHYS/QHP ATTND INIT HR,"Functional cortical and subcortical mapping by stimulation and/or recording of electrodes on brain surface, or of depth electrodes, to provoke seizures or identify vital brain structures; initial hour of attendance by a physician or other qualified health care professional"
9291,"3757F",PT W/O PSEUDOBULBAFFECT/ALS,NO PSEUDOBULBAR AFFECT/SIALORRHEA/ALS SYMP,"Patient does not have pseudobulbar affect, sialorrhea, or ALS-related symptoms (ALS)"
8928,"97006",ATHLETIC TRAIN REEVAL,ATHLETIC TRAINING RE-EVALUATION,Athletic training re-evaluation
9423,"1220F",PT SCREENED FOR DEPRESSION,PATIENT SCREENED DEPRESSION,Patient screened for depression (SUD)
9551,"4322F",CRGVR PROV W/ ED ADDL RSRCS,CRGVR PROVIDED W/ED REFERRED ADDL RESOURCES,Caregiver provided with education and referred to additional resources for support (DEM)
9607,"0209T",AUDIOMETRY AIR & BONE,PURE TONE AUDIOMETRY AUTOMATED AIR & BONE,"Pure tone audiometry (threshold), automated; air and bone"
9124,"97112",NEUROMUSCULAR REEDUCATION,THER PX 1/> AREAS EACH 15 MIN NEUROMUSC REEDUCA,"Therapeutic procedure, 1 or more areas, each 15 minutes; neuromuscular reeducation of movement, balance, coordination, kinesthetic sense, posture, and/or proprioception for sitting and/or standing activities"
9743,"4324F",PT QUERIED PRKNS COMPLIC,PT QUERIED PARKINSONS MED-RELATED COMPLICATION,Patient (or caregiver) queried about Parkinson's disease medication related motor complications (Prkns)
77,"01340",ANESTH KNEE AREA PROCEDURE,ANESTHESIA CLOSED PROCEDURES LOWER 1/3 FEMUR,Anesthesia for all closed procedures on lower one-third of femur
205,"10080",DRAINAGE OF PILONIDAL CYST,INCISION & DRAINAGE PILONIDAL CYST SIMPLE,Incision and drainage of pilonidal cyst; simple
333,"01420",ANESTH KNEE JOINT CASTING,ANES CAST APPLICATION REMOVAL/REPAIR KNEE JOINT,"Anesthesia for all cast applications, removal, or repair involving knee joint"
461,"21127",AUGMENTATION LOWER JAW BONE,AGMNTJ MNDBLR BDY/ANGL W/GRF ONLAY/INTERPOSAL,"Augmentation, mandibular body or angle; with bone graft, onlay or interpositional (includes obtaining autograft)"
114,"01636",ANESTH FOREQUARTER AMPUT,ANES ARTHRS INTERTHORACOSCAPULAR AMPUTATION,"Anesthesia for open or surgical arthroscopic procedures on humeral head and neck, sternoclavicular joint, acromioclavicular joint, and shoulder joint; interthoracoscapular (forequarter) amputation"
545,"17111",DESTRUCT LESION 15 OR MORE,DESTRUCTION BENIGN LESIONS 15/>,"Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions"
218,"00620",ANESTH SPINE CORD SURGERY,ANESTHESIA THORACIC SPINE & CORD NOS,"Anesthesia for procedures on thoracic spine and cord, not otherwise specified"
633,"11750",REMOVAL OF NAIL BED,EXCISION NAIL MATRIX PERMANENT REMOVAL,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal;"
761,"15135",DERM AUTOGRAFT FACE/NCK/HF/,DERMAL AUTOGRAFT F/S/N/H/F/G/M/D GT 1ST 100,"Dermal autograft, face, scalp, eyelids, mouth, neck, ears, orbits, genitalia, hands, feet, and/or multiple digits; first 100 sq cm or less, or 1% of body area of infants and children"
442,"12055",INTMD RPR FACE/MM 12.6-20 C,REPAIR INTERMEDIATE F/E/E/N/L&/MUC 12.6-20.0CM,"Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 12.6 cm to 20.0 cm"
8949,"96151",ASSESS HLTH/BEHAVE SUBSEQ,HLTH&BEHAVIOR ASSMT EA 15 MIN W/PT RE-ASSMT,"Health and behavior assessment (eg, health-focused clinical interview, behavioral observations, psychophysiological monitoring, health-oriented questionnaires), each 15 minutes face-to-face with the patient; re-assessment"
8458,"90662",FLU VACC PRSV FREE INC ANTI,INFLUENZA VACCINE SPLT PRSRV FREE INC ANTIGEN IM,"Influenza virus vaccine, split virus, preservative free, enhanced immunogenicity via increased antigen content, for intramuscular use"
9073,"0540F",GLUCO MNGMNT PLAN DOCD,GLUCORTICOID MANAGEMENT PLAN DOCUMENTED,Glucorticoid Management Plan Documented (RA)
8610,"92591",HEARING AID EXAM BOTH EARS,HEARING AID EXAMINATION & SELECTION BINAURAL,Hearing aid examination and selection; binaural
9177,"99477",INIT DAY HOSP NEONATE CARE,INITIAL HOSP NEONATE 28 D/< NOT CRITICALLY ILL,"Initial hospital care, per day, for the evaluation and management of the neonate, 28 days of age or younger, who requires intensive observation, frequent interventions, and other intensive care services"
8750,"94728",PULM FUNCT TEST OSCILLOMETR,AIRWAY RESISTANCE BY IMPULSE OSCILLOMETRY,Airway resistance by impulse oscillometry
9285,"3725F",SCREEN DEPRESSION PERFORMED,SCREENING FOR DEPRESSION PERFORMED,Screening for depression performed (DEM)
9413,"1152F",DOC ADVNCD DIS COMFORT 1ST,DOC ADVANCED DISEASE DX CARE GOALS COMFORT,"Documentation of advanced disease diagnosis, goals of care prioritize comfort (Pall Cr)"
8958,"97750",PHYSICAL PERFORMANCE TEST,PHYSICAL PERFORMANCE TEST/MEAS W/REPRT EA 15 MIN,"Physical performance test or measurement (eg, musculoskeletal, functional capacity), with written report, each 15 minutes"
9481,"3220F",HEP C QUANT RNA TSTNG DOCD,HEP C QUANT RNA TEST 12 WKS AFTER ANTIVIRAL TX,Hepatitis C quantitative RNA testing documented as performed at 12 weeks from initiation of antiviral treatment (HEP-C)
9046,"99342",HOME VISIT NEW PATIENT,HOME VISIT NEW PATIENT MOD SEVERITY 30 MINUTES,"Home visit for the evaluation and management of a new patient, which requires these 3 key components: An expanded problem focused history; An expanded problem focused examination; and Medical decision making of low complexity. Counseling and/or coordination of care with other physicians, other qualified health care professionals, or agencies are provided consistent with the nature of the problem(s) and the patient's and/or family's needs. Usually, the presenting problem(s) are of moderate severity. Typically, 30 minutes are spent face-to-face with the patient and/or family."
9645,"0308T",INSJ OCULAR TELESCOPE PROST,INSJ OCULAR TELESCOPE PROSTH,Insertion of ocular telescope prosthesis including removal of crystalline lens
9162,"99173",VISUAL ACUITY SCREEN,SCREENING TEST VISUAL ACUITY QUANTITATIVE BILAT,"Screening test of visual acuity, quantitative, bilateral"
9793,"0111T",RBC MEMBRANES FATTY ACIDS,LONG-CHAIN OMEGA-3 FATTY ACIDS RBC MEMBS,Long-chain (C20-22) omega-3 fatty acids in red blood cell (RBC) membranes
9294,"2001F",WEIGHT RECORD,WEIGHT RECORDED,Weight recorded (PAG)
9422,"3341F",MAMMO ASSESS NEGATIVE DOCD,MAMMO ASSESSMENT CAT NEGATIVE DOCD,"Mammogram assessment category of ""negative,"" documented (RAD)"
9550,"1180F",THROMBOEMB RISK ASSESSED,THROMBOEMBOLIC RISK ASSESSED,All specified thromboembolic risk factors assessed (AFIB)
9678,"0075T",PERQ STENT/CHEST VERT ART,TCAT PLMT XTRC VRT CRTD STENT RS&I PRQ 1ST VSL,"Transcatheter placement of extracranial vertebral artery stent(s), including radiologic supervision and interpretation, open or percutaneous; initial vessel"
9806,"0231T",NJX TFRML EPRL W/US LUMB/SA,NJX ANES/STEROID TFRML EDRL W/US LUM/SAC EA ADDL,"Injection(s), anesthetic agent and/or steroid, transforaminal epidural, with ultrasound guidance, lumbar or sacral; each additional level (List separately in addition to code for primary procedure)"
9934,"0178T","64 LEAD ECG W/I&R","64 LEAD ECG W/INTERPRETATION & REPORT","Electrocardiogram, 64 leads or greater, with graphic presentation and analysis; with interpretation and report"
9964,"0299T",ESW WOUND HEALING INIT WOUN,ESW HI ENERGY W/TOPCAL APP &DRESNG CARE 1ST WND,"Extracorporeal shock wave for integumentary wound healing, high energy, including topical application and dressing care; initial wound"
8517,"92352",FIT APHAKIA SPECTCL MONOFOC,FITTING SPECTACLE PROSTH APHAKIA MONOFOCAL,Fitting of spectacle prosthesis for aphakia; monofocal
7982,"87153",DNA/RNA SEQUENCING,CULTYP NUCLEIC ACID SEQUENCING METH EA ISOLATE,"Culture, typing; identification by nucleic acid sequencing method, each isolate (eg, sequencing of the 16S rRNA gene)"
8641,"94780",CAR SEAT/BED TEST 60 MIN,CAR SEAT/BED TESTING W/INTERP & REPORT 60 MIN,"Car seat/bed testing for airway integrity, neonate, with continual nursing observation and continuous recording of pulse oximetry, heart rate and respiratory rate, with interpretation and report; 60 minutes"
8110,"0012F",CAP BACTERIAL ASSESS,COMMUNITY-ACQUIRED BACTERIAL PNEUMONIA ASSMT,Community-acquired bacterial pneumonia assessment (includes all of the following components) (CAP): Co-morbid conditions assessed (1026F) Vital signs recorded (2010F) Mental status assessed (2014F) Hydration status assessed (2018F)
8238,"88174",CYTOPATH C/V AUTO IN FLUID,CYTP C/V AUTO THIN LYR PREPJ SCR SYS PHYS,"Cytopathology, cervical or vaginal (any reporting system), collected in preservative fluid, automated thin layer preparation; screening by automated system, under physician supervision"
8861,"99071",PATIENT EDUCATION MATERIALS,EDUCATIONAL SUPPLIES PRV BY THE PHYS AT COST,"Educational supplies, such as books, tapes, and pamphlets, for the patient's education at cost to physician or other qualified health care professional"
8370,"92340",FIT SPECTACLES MONOFOCAL,FITTING SPECTACLES XCPT APHAKIA MONOFOCAL,"Fitting of spectacles, except for aphakia; monofocal"
8953,"96361",HYDRATE IV INFUSION ADD-ON,IV INFUSION HYDRATION EACH ADDITIONAL HOUR,"Intravenous infusion, hydration; each additional hour (List separately in addition to code for primary procedure)"
8462,"90673",FLU VACC RIV3 NO PRESERV,INFLUENZA VIRUS VACCINE TRIVALEN RIV3 PRSR FR IM,"Influenza virus vaccine, trivalent, derived from recombinant DNA (RIV3), hemagglutinin (HA) protein only, preservative and antibiotic free, for intramuscular use"
9077,"0557F",PLAN CAREMNG ANGNL SYMPTDOC,PLAN OF CARE TO MANAGE ANGINAL SYMPTOMS DOCD,Plan of care to manage anginal symptoms documented (CAD)
8614,"93453",R&L HRT CATH W/VENTRICLGRPH,R & L HRT CATH W/NJX L VENTRICULOG IMG S&I,"Combined right and left heart catheterization including intraprocedural injection(s) for left ventriculography, imaging supervision and interpretation, when performed"
9181,"99485",SUPRV INTERFACILTY TRANSPOR,SUPERVISION INTERFACILITY TRANSPORT INIT 30 MIN,"Supervision by a control physician of interfacility transport care of the critically ill or critically injured pediatric patient, 24 months of age or younger, includes two-way communication with transport team before transport, at the referring facility and during the transport, including data interpretation and report; first 30 minutes"
8754,"94750",PULMONARY COMPLIANCE STUDY,PULMONARY COMPLIANCE STUDY,"Pulmonary compliance study (eg, plethysmography, volume and pressure measurements)"
9289,"3753F",PT HAS SYMP&SIGNS NEUROPATH,PT HAS CLINICAL SYMP&SIGNS NEUROPATHY W/CAUSE,"Patient has clear clinical symptoms and signs that are highly suggestive of neuropathy AND cannot be attributed to another condition, AND has an obvious cause for the neuropathy (DSP)"
9417,"1159F",MED LIST DOCD IN RCRD,MEDICATION LIST DOCUMENTED IN MEDICAL RECORD,Medication list documented in medical record (COA)
849,"21348",OPN TX NASOMAX FX W/GRAFT,OPTX NASOMAX CPLX FX LEFT II TYPE W/BONE GRAFT,Open treatment of nasomaxillary complex fracture (LeFort II type); with bone grafting (includes obtaining graft)
977,"20692",APPLY BONE FIXATION DEVICE,APPLICATION MULTIPLANE EXTERNAL FIXATION SYSTEM,"Application of a multiplane (pins or wires in more than 1 plane), unilateral, external fixation system (eg, Ilizarov, Monticelli type)"
1105,"21196",RECONST LWR JAW W/FIXATION,RCNSTJ MNDBLR RAMI&/BDY SGTL SPLT W/INT RGD FI,"Reconstruction of mandibular rami and/or body, sagittal split; with internal rigid fixation"
622,"19281",PERQ DEVICE BREAST 1ST IMAG,PERQ DEVICE PLACEMENT BREAST LOC 1ST LES W/GDNCE,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including mammographic guidance"
750,"15878",SUCTION LIPECTOMY UPR EXTRE,SUCTION ASSISTED LIPECTOMY UPPER EXTREMITY,Suction assisted lipectomy; upper extremity
1161,"24358",REPAIR ELBOW W/DEB OPEN,TNOT ELBOW LATERAL/MEDIAL DEBRIDE OPEN,"Tenotomy, elbow, lateral or medial (eg, epicondylitis, tennis elbow, golfer's elbow); debridement, soft tissue and/or bone, open"
1289,"22600",NECK SPINE FUSION,ARTHRODESIS PST/PSTLAT CERVICAL BELW C2 SGM,"Arthrodesis, posterior or posterolateral technique, single level; cervical below C2 segment"
958,"22207",INCIS SPINE 3 COLUMN LUMBAR,OSTEOTOMY SPINE POSTERIOR 3 COLUMN LUMBAR,"Osteotomy of spine, posterior or posterolateral approach, 3 columns, 1 vertebral segment (eg, pedicle/vertebral body subtraction); lumbar"
1397,"26587",RECONSTRUCT EXTRA FINGER,RCNSTJ POLYDACTYLOUS DIGIT SOFT TISSUE & BONE,"Reconstruction of polydactylous digit, soft tissue and bone"
1042,"21073",MNPJ OF TMJ W/ANESTH,MANIPULATION TMJ THERAPEUTIC REQUIRE ANESTHESIA,"Manipulation of temporomandibular joint(s) (TMJ), therapeutic, requiring an anesthesia service (ie, general or monitored anesthesia care)"
1477,"24371",REVISE RECONST ELBOW JOINT,REVIS ELBOW ARTHRPLSTY HUMERAL&ULNA COMPNT,"Revision of total elbow arthroplasty, including allograft when performed; humeral and ulnar component"
1605,"25145",REMOVE FOREARM BONE LESION,SEQUESTRECTOMY FOREARM &/WRIST,"Sequestrectomy (eg, for osteomyelitis or bone abscess), forearm and/or wrist"
1250,"22612",LUMBAR SPINE FUSION,ARTHRODESIS POSTERIOR/POSTEROLATERAL LUMBAR,"Arthrodesis, posterior or posterolateral technique, single level; lumbar (with lateral transverse technique, when performed)"
1705,"27516",TREAT THIGH FX GROWTH PLATE,CLTX DISTAL FEMORAL EPIPHYSL SEPARATION W/O MANJ,Closed treatment of distal femoral epiphyseal separation; without manipulation
1833,"26850",FUSION OF KNUCKLE,ARTHRODESIS METACARPOPHALANGEAL JT W/WO INT FIXJ,"Arthrodesis, metacarpophalangeal joint, with or without internal fixation;"
1961,"27134",REVISE HIP JOINT REPLACEMEN,REVJ TOT HIP ARTHRP BTH W/WO AGRFT/ALGRFT,"Revision of total hip arthroplasty; both components, with or without autograft or allograft"
1390,"23605",TREAT HUMERUS FRACTURE,CLTX PROX HUMRL FX W/MANJ W/WO SKELETAL TRACJ,"Closed treatment of proximal humeral (surgical or anatomical neck) fracture; with manipulation, with or without skeletal traction"
1518,"26770",TREAT FINGER DISLOCATION,CLTX IPHAL JT DISLC W/MANJ W/O ANES,"Closed treatment of interphalangeal joint dislocation, single, with manipulation; without anesthesia"
1646,"27120",RECONSTRUCTION OF HIP SOCKE,ACETABULOPLASTY,"Acetabuloplasty; (eg, Whitman, Colonna, Haygroves, or cup type)"
2109,"30130",EXCISE INFERIOR TURBINATE,EXCISION INFERIOR TURBINATE PARTIAL/COMPLETE,"Excision inferior turbinate, partial or complete, any method"
1714,"27457",REALIGNMENT OF KNEE,OSTEOT PROX TIBIA FIB EXC/OSTEOT AFTER EPIPHYSL,"Osteotomy, proximal tibia, including fibular excision or osteotomy (includes correction of genu varus [bowleg] or genu valgus [knock-knee]); after epiphyseal closure"
1842,"27652",REPAIR/GRAFT ACHILLES TENDO,RPR PRIMARY OPEN/PRQ RUPTURED ACHILLES W/GRAFT,"Repair, primary, open or percutaneous, ruptured Achilles tendon; with graft (includes obtaining graft)"
2305,"29505",APPLICATION LONG LEG SPLINT,APPLICATION LONG LEG SPLINT THIGH ANKLE/TOES,Application of long leg splint (thigh to ankle or toes)
1902,"28072",REMOVAL OF FOOT JOINT LININ,SYNOVECTOMY METATARSOPHALANGEAL JOINT EACH,"Synovectomy; metatarsophalangeal joint, each"
2030,"28635",TREAT TOE DISLOCATION,CLTX METATARSOPHLNGL JT DISLC REQ ANES,Closed treatment of metatarsophalangeal joint dislocation; requiring anesthesia
2513,"31290",NASAL/SINUS ENDOSCOPY SURG,NASAL/SINUS NDSC RPR CEREBRSP FLUID LEAK ETHMOID,"Nasal/sinus endoscopy, surgical, with repair of cerebrospinal fluid leak; ethmoid region"
2641,"42894",REVISION OF PHARYNGEAL WALL,RESCJ PHRNGL WALL CLSR W/FLP OR FLP W/MVASC ANAS,"Resection of pharyngeal wall requiring closure with myocutaneous or fasciocutaneous flap or free muscle, skin, or fascial flap with microvascular anastomosis"
2066,"29280",STRAPPING OF HAND OR FINGER,STRAPPING HAND/FINGER,Strapping; hand or finger
2194,"28104",REMOVAL OF FOOT LESION,EXC/CURTG BONE CYST/B9 TUMORTARSAL/METATARSAL,"Excision or curettage of bone cyst or benign tumor, tarsal or metatarsal, except talus or calcaneus;"
2837,"32856",PREPARE DONOR LUNG DOUBLE,BKBENCH PREPJ CADAVER DONOR LUNG ALLOGRAFT BI,"Backbench standard preparation of cadaver donor lung allograft prior to transplantation, including dissection of allograft from surrounding soft tissues to prepare pulmonary venous/atrial cuff, pulmonary artery, and bronchus; bilateral"
2302,"42892",REVISION OF PHARYNGEAL WALL,RESCJ LAT PHRNGL WALL/PYRIFORM SINUS DIR CLSR,"Resection of lateral pharyngeal wall or pyriform sinus, direct closure by advancement of lateral and posterior pharyngeal walls"
2917,"35211",REPAIR BLOOD VESSEL LESION,RPR BLOOD VESSEL DIRECT INTRATHORACIC W/BYPASS,"Repair blood vessel, direct; intrathoracic, with bypass"
3045,"35701",EXPLORATION CAROTID ARTERY,EXPL N/FLWD SURG RPR W/WO LYSIS CAROTID ARTERY,"Exploration (not followed by surgical repair), with or without lysis of artery; carotid artery"
2526,"32851",LUNG TRANSPLANT SINGLE,LUNG TRANSPLANT 1 W/O CARDIOPULMONARY BYPASS,"Lung transplant, single; without cardiopulmonary bypass"
3105,"36590",REMOVAL TUNNELED CV CATH,RMVL TUN CTR VAD W/SUBQ PORT/PMP CTR/PRPH INSJ,"Removal of tunneled central venous access device, with subcutaneous port or pump, central or peripheral insertion"
2654,"31561",LARYNSCOP REMVE CART + SCOP,LARGSC ARYTENOIDECTOMY MICROSCOPE/TELESCOPE,"Laryngoscopy, direct, operative, with arytenoidectomy; with operating microscope or telescope"
3197,"37193",REM ENDOVAS VENA CAVA FILTE,RTRVL INTRVAS VC FILTR W/WO ACS VSL SELXN RS&I,"Retrieval (removal) of intravascular vena cava filter, endovascular approach including vascular access, vessel selection, and radiological supervision and interpretation, intraprocedural roadmapping, and imaging guidance (ultrasound and fluoroscopy), when performed"
3325,"36247",INS CATH ABD/L-EXT ART 3RD,SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,"Selective catheter placement, arterial system; initial third order or more selective abdominal, pelvic, or lower extremity artery branch, within a vascular family"
2874,"34451",REMOVAL OF VEIN CLOT,THRMBC DIR/W/CATH V/C ILIAC FEMPOP VEIN ABDL&LEG,"Thrombectomy, direct or with catheter; vena cava, iliac, femoropopliteal vein, by abdominal and leg incision"
3421,"42509",PAROTID DUCT DIVERSION,PAROTID DUCT DVRJ BI W/EXC BOTH SUBMNDBLR GLANDS,"Parotid duct diversion, bilateral (Wilke type procedure); with excision of both submandibular glands"
2950,"33534",CABG ARTERIAL TWO,CABG W/ARTERIAL GRAFT TWO ARTERIAL GRAFTS,"Coronary artery bypass, using arterial graft(s); 2 coronary arterial grafts"
3078,"33863",ASCENDING AORTIC GRAFT,AS-AORT GRF W/CARD BYP & AORTIC ROOT RPLCMT,"Ascending aorta graft, with cardiopulmonary bypass, with aortic root replacement using valved conduit and coronary reconstruction (eg, Bentall)"
3206,"37221",ILIAC REVASC W/STENT,REVSC OPN/PRQ ILIAC ART W/STNT PLMT & ANGIOPLSTY,"Revascularization, endovascular, open or percutaneous, iliac artery, unilateral, initial vessel; with transluminal stent placement(s), includes angioplasty within the same vessel, when performed"
3637,"40525",RECONSTRUCT LIP WITH FLAP,EXC LIP FULL THKNS RCNSTJ W/LOCAL FLAP,"Excision of lip; full thickness, reconstruction with local flap (eg, Estlander or fan)"
3765,"44381",SMALL BOWEL ENDOSCOPY BR/WA,ILEOSCOPY STOMA W/BALLOON DILATION,"Ileoscopy, through stoma; with transendoscopic balloon dilation"
3258,"35536",ART BYP GRFT SPLENORENAL,BYPASS W/VEIN SPLENORENAL,"Bypass graft, with vein; splenorenal"
3386,"41150",TONGUE MOUTH JAW SURGERY,GLSSC COMPOSIT W/RESCJ FLOOR & MANDIBULAR RESCJ,"Glossectomy; composite procedure with resection floor of mouth and mandibular resection, without radical neck dissection"
3977,"45378",DIAGNOSTIC COLONOSCOPY,COLONOSCOPY FLX DX W/COLLJ SPEC WHEN PFRMD,"Colonoscopy, flexible; diagnostic, including collection of specimen(s) by brushing or washing, when performed (separate procedure)"
3466,"41823",EXCISION OF GUM LESION,EXC OSS TUBEROSITIES DENTOALVEOLAR STRUXS,"Excision of osseous tuberosities, dentoalveolar structures"
3594,"38232",BONE MARROW HARVEST AUTOLOG,BONE MARROW HARVEST TRANSPLANTATION AUTOLOGOUS,Bone marrow harvesting for transplantation; autologous
4045,"47701",BILE DUCT REVISION,PORTOENETEROSTOMY,"Portoenterostomy (eg, Kasai procedure)"
4173,"45126",PELVIC EXENTERATION,PELVIC EXENTERATION COLORECTAL MALIGNANCY,"Pelvic exenteration for colorectal malignancy, with proctectomy (with or without colostomy), with removal of bladder and ureteral transplantations, and/or hysterectomy, or cervicectomy, with or without removal of tube(s), with or without removal of ovary(s), or any combination thereof"
3798,"43244",EGD VARICES LIGATION,EGD BAND LIGATION ESOPHGEAL/GASTRIC VARICES,"Esophagogastroduodenoscopy, flexible, transoral; with band ligation of esophageal/gastric varices"
4265,"51728",CYSTOMETROGRAM W/VP,COMPLEX CYSTOMETROGRAM VOIDING PRESSURE STUDIES,"Complex cystometrogram (ie, calibrated electronic equipment); with voiding pressure studies (ie, bladder voiding pressure), any technique"
4393,"49521",REREPAIR ING HERNIA BLOCKED,RPR RECRT INGUN HERNIA ANY AGE INCARCERATED,"Repair recurrent inguinal hernia, any age; incarcerated or strangulated"
4521,"50135",EXPLORATION OF KIDNEY,PYELOTOMY COMPLICATED,"Pyelotomy; complicated (eg, secondary operation, congenital kidney abnormality)"
3950,"43831",PLACE GASTROSTOMY TUBE,GASTROSTOMY OPN NEONATAL FEEDING,"Gastrostomy, open; neonatal, for feeding"
4601,"52235",CYSTOSCOPY AND TREATMENT,CYSTOURETHROSCOPY W/DEST &/RMVL MED BLADDER TUM,"Cystourethroscopy, with fulguration (including cryosurgery or laser surgery) and/or resection of; MEDIUM bladder tumor(s) (2.0 to 5.0 cm)"
4729,"58210",EXTENSIVE HYSTERECTOMY,RAD ABDL HYSTERECTOMY W/BI PELVIC LMPHADENECTOMY,"Radical abdominal hysterectomy, with bilateral total pelvic lymphadenectomy and para-aortic lymph node sampling (biopsy), with or without removal of tube(s), with or without removal of ovary(s)"
4162,"49215",EXCISE SACRAL SPINE TUMOR,EXC PRESAC/SACROCOCCYGEAL TUMOR,Excision of presacral or sacrococcygeal tumor
4825,"61108",DRILL SKULL FOR DRAINAGE,TWIST DRILL HOLE EVAC&/DRG SUBDURAL HEMATOMA,"Twist drill hole(s) for subdural, intracerebral, or ventricular puncture; for evacuation and/or drainage of subdural hematoma"
4238,"46040",INCISION OF RECTAL ABSCESS,I&D ISCHIORECTAL&/PERIRECTAL ABSCESS SPX,Incision and drainage of ischiorectal and/or perirectal abscess (separate procedure)
4366,"51535",REPAIR OF URETER LESION,CYSTOTOMY EXCISE/INCISE/REPAIR URETEROCELE,"Cystotomy for excision, incision, or repair of ureterocele"
5037,"57456",ENDOCERV CURETTAGE W/SCOPE,COLPOSCOPY CERVIX ENDOCERVICAL CURETTAGE,Colposcopy of the cervix including upper/adjacent vagina; with endocervical curettage
4454,"49561",RPR VENTRAL HERN INIT BLOCK,RPR 1ST INCAL/VNT HERNIA INCARCERATED,Repair initial incisional or ventral hernia; incarcerated or strangulated
5125,"59898",LAPARO PROC OB CARE/DELIVER,UNLISTED LAPAROSCOPY PX MATERNITY CARE&DELIVERY,"Unlisted laparoscopy procedure, maternity care and delivery"
5253,"61564",EXCISION OF SKULL TUMOR,EXC BENIGN TUM CRANIAL BONE W/OPTIC NRV DCMPRN,"Excision, intra and extracranial, benign tumor of cranial bone (eg, fibrous dysplasia); with optic nerve decompression"
4674,"55873",CRYOABLATE PROSTATE,CRYOSURGICAL ABLATION PROSTATE W/US & MONITORI,Cryosurgical ablation of the prostate (includes ultrasonic guidance and monitoring)
5321,"63664",REVISE SPINE ELTRD PLATE,REVJ INCL RPLCMT NSTIM ELTRD PLT/PDLE INCL FLUOR,"Revision including replacement, when performed, of spinal neurostimulator electrode plate/paddle(s) placed via laminotomy or laminectomy, including fluoroscopy, when performed"
4782,"53405",REVISE URETHRA STAGE 2,URETHROPLASTY 2ND STAGE W/URINARY DIVERSION,"Urethroplasty; second stage (formation of urethra), including urinary diversion"
4910,"59409",OBSTETRICAL CARE,VAGINAL DELIVERY ONLY,Vaginal delivery only (with or without episiotomy and/or forceps);
5529,"62269",NEEDLE BIOPSY SPINAL CORD,BIOPSY SPINAL CORD PERCUTANEOUS NEEDLE,"Biopsy of spinal cord, percutaneous needle"
5010,"57511",CRYOCAUTERY OF CERVIX,CAUTERY CERVIX CRYOCAUTERY INITIAL/REPEAT,"Cautery of cervix; cryocautery, initial or repeat"
